"기간","총입금액수익률","잔액기준수익률","평잔수익률","KOSPI수익률","KOSPI초과수익률","KOSDAQ수익률","KOSDAQ초과수익률","투자이익","기초자산","기말자산","기말대출잔액","입금고","출금고","배당금","예탁금이자","수수료","세금","상환이자","보존입금액","보존출금액","투자원금"
"2025/04/11","1.75","1.75","1.72","-0.50","2.25","2.02","-0.26","263,160","14,971,840","15,235,000","0","0","0","0","0","0","0","0","0","0","14,971,840"
"2025/04/10","1.31","1.31","1.29","6.60","-5.28","5.97","-4.65","193,800","14,778,040","14,971,840","0","0","0","0","0","0","0","0","0","0","14,778,040"
"2025/04/09","1.22","1.22","1.20","-1.74","2.96","-2.29","3.51","178,500","14,599,540","14,778,040","0","0","0","0","0","0","0","0","0","0","14,599,540"
"2025/04/08","0.31","0.31","0.31","0.26","0.05","1.10","-0.78","45,900","14,553,640","14,599,540","0","0","0","0","0","0","0","0","0","0","14,553,640"
"2025/04/07","-1.10","-1.10","-1.11","-5.57","4.46","-5.25","4.14","-162,180","14,715,820","14,553,640","0","0","0","0","0","0","0","0","0","0","14,715,820"
"2025/04/06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","14,715,820","14,715,820","0","0","0","0","0","0","0","0","0","0","14,715,820"
"2025/04/05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","14,715,820","14,715,820","0","0","0","0","0","0","0","0","0","0","14,715,820"
"2025/04/04","-2.70","-2.70","-2.77","-0.86","-1.84","0.57","-3.27","-409,020","15,124,840","14,715,820","0","0","0","0","0","0","0","0","0","0","15,124,840"
"2025/04/03","0.41","0.41","0.41","-0.76","1.17","-0.20","0.61","63,240","15,061,600","15,124,840","0","0","0","0","0","0","0","0","0","0","15,061,600"
"2025/04/02","-1.34","-1.34","-1.36","-0.62","-0.72","-0.95","-0.39","-205,020","15,266,620","15,061,600","0","0","0","0","0","0","0","0","0","0","15,266,620"
"2025/04/01","0.26","0.26","0.26","1.62","-1.35","2.76","-2.49","39,780","15,226,840","15,266,620","0","0","0","0","0","0","0","0","0","0","15,226,840"
"2025/03/31","2.36","2.36","2.31","-3.00","5.36","-3.01","5.37","351,900","14,874,940","15,226,840","0","0","0","0","0","0","0","0","0","0","14,874,940"
"2025/03/30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","14,874,940","14,874,940","0","0","0","0","0","0","0","0","0","0","14,874,940"
"2025/03/29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","14,874,940","14,874,940","0","0","0","0","0","0","0","0","0","0","14,874,940"
"2025/03/28","1.48","1.48","1.46","-1.89","3.37","-1.94","3.42","217,260","14,657,680","14,874,940","0","0","0","0","0","0","0","0","0","0","14,657,680"
"2025/03/27","0.35","0.35","0.35","-1.39","1.74","-1.25","1.60","52,020","14,605,660","14,657,680","0","0","0","0","0","0","0","0","0","0","14,605,660"
"2025/03/26","-0.02","-0.02","-0.02","1.08","-1.10","0.73","-0.75","-3,060","14,608,720","14,605,660","0","0","0","0","0","0","0","0","0","0","14,608,720"
